VALUE,HEIGHT,LEFT,RIGHT,AGE,NATIONALITY,GOAL,ASSIST,MINUTES,SCORINGABILITY,PASS,TACKLE,DRIBBLE,SAVE,CLEANSHEET
1000000,176,0,1,30,0,0.0,0.0,1980,-0.2,80.7,29,42.9,0.0,0.0
1000000,183,1,0,32,0,0.1,0.1,1871,0.19999999999999996,78.6,23,82.1,0.0,0.0
1000000,168,0,0,22,1,0.88,0.0,306,2.1,68.0,6,40.9,0.0,0.0
2000000,186,0,1,26,1,0.4,0.13,683,0.20000000000000018,77.3,5,39.5,0.0,0.0
15000,195,0,1,19,0,0.0,0.0,59,0.0,88.0,1,100.0,0.0,0.0
1000000,180,0,1,28,0,0.0,0.8,113,-0.1,75.0,1,100.0,0.0,0.0
1000000,194,0,1,29,1,0.0,0.0,812,-0.6,89.3,3,0.0,0.0,0.0
1000000,182,1,0,25,0,0.0,0.0,455,0.0,74.7,3,50.0,0.0,0.0
2000000,180,0,1,22,1,0.06,0.18,1542,-0.8,72.1,22,40.9,0.0,0.0
22000000,184,0,1,21,0,1.14,1.14,79,0.6,85.7,8,87.5,0.0,0.0
7000000,183,0,1,24,0,0.04,0.04,2505,-0.19999999999999996,83.4,58,70.9,0.0,0.0
2000000,179,0,1,24,1,0.06,0.12,1508,-0.10000000000000009,79.7,15,60.4,0.0,0.0
2000000,193,0,1,31,0,0.04,0.08,2340,0.4,87.3,23,100.0,0.0,0.0
1000000,184,0,1,32,1,0.0,0.0,2052,-0.9,85.4,22,100.0,0.0,0.0
56000000,187,0,1,30,1,0.63,0.09,3136,6.199999999999999,68.9,24,51.0,0.0,0.0
32000000,178,0,1,24,1,0.08,0.0,1158,0.5,81.3,16,45.7,0.0,0.0
32000000,179,0,1,22,1,0.0,0.11,1692,-0.5,84.2,28,70.7,0.0,0.0
14000000,182,0,1,24,0,0.08,0.08,1102,0.30000000000000004,81.2,18,72.2,0.0,0.0
40000000,185,0,1,20,1,0.0,0.05,1748,-0.6,89.0,13,69.0,0.0,0.0
9000000,189,0,1,23,0,0.0,0.0,581,-0.1,86.4,3,33.3,0.0,0.0
10000000,183,1,0,26,1,0.0,0.11,1701,-0.7,84.3,18,77.8,0.0,0.0
48000000,176,0,1,28,1,0.48,0.19,1874,1.5,77.6,19,54.3,0.0,0.0
28000000,190,0,1,27,1,0.0,0.0,2649,0.0,74.9,0,50.0,0.776,23.3
6000000,189,0,1,32,1,0.06,0.03,2809,0.10000000000000009,86.5,20,44.4,0.0,0.0
14000000,180,0,1,21,0,0.0,0.13,1386,-0.3,82.6,27,50.0,0.0,0.0
4000000,193,1,0,25,1,0.0,0.0,113,0.0,89.0,1,0.0,0.0,0.0
25000000,180,0,1,18,1,0.41,0.0,663,0.7000000000000002,62.3,13,37.9,0.0,0.0
2000000,195,0,1,26,1,0.0,0.0,771,0.0,72.4,0,0.0,0.81,37.5
20000000,177,0,0,30,1,0.0,0.0,112,-0.3,75.3,0,40.0,0.0,0.0
3000000,180,1,0,33,1,0.0,0.0,270,-0.1,90.5,4,33.3,0.0,0.0
12000000,184,0,1,27,1,0.0,0.07,1207,-0.8,83.9,9,100.0,0.0,0.0
12000000,175,0,1,19,0,0.14,0.0,631,0.09999999999999998,79.5,6,55.2,0.0,0.0
11000000,180,0,1,20,0,0.28,0.0,633,-1.1,79.3,7,62.5,0.0,0.0
17000000,180,1,0,30,1,0.06,0.13,1438,-0.30000000000000004,84.6,10,67.7,0.0,0.0
6000000,186,0,1,31,1,0.11,0.0,1696,1.0,89.7,13,83.3,0.0,0.0
52000000,183,1,0,24,1,0.22,0.27,2010,0.5,76.7,19,54.5,0.0,0.0
20000000,178,1,0,17,0,0.05,0.26,1753,-0.30000000000000004,78.1,22,64.6,0.0,0.0
8000000,171,0,1,27,1,0.36,0.0,249,1.0,70.7,5,100.0,0.0,0.0
20000000,180,1,0,22,1,0.09,0.09,989,0.7,76.1,11,75.0,0.0,0.0
